City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Sao Filipe,CV,70.39,overcast clouds,14.8961,-24.4956,Tortuga B&B
9,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
10,Punta Arenas,CL,71.6,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,Rikitea,PF,77.23,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
17,Atuona,PF,79.36,few clouds,-9.8,-139.0333,Villa Enata
19,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
20,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
24,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
27,Tondano,ID,75.2,scattered clouds,1.3038,124.9112,Villa Bella
35,Dunmore Town,BS,75.36,clear sky,25.5,-76.65,Coral Sands Hotel
36,Mount Isa,AU,77.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
37,Butaritari,KI,80.92,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Riberalta,BO,78.8,very heavy rain,-10.9833,-66.1,Hotel Colonial
42,Hithadhoo,MV,82.06,overcast clouds,-0.6,73.0833,Scoop Guest House
44,Mananjary,MG,80.49,light rain,-21.2167,48.3333,Vahiny Lodge
46,Victoria,HK,68.0,clear sky,22.2855,114.1577,Mini Hotel Central
47,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
49,Tabou,CI,79.68,broken clouds,4.423,-7.3528,hotêl doufoulougou
54,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
60,Arraial Do Cabo,BR,73.4,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
62,Midland,US,71.6,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
65,Rio Gallegos,AR,69.8,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
69,Ambulu,ID,75.83,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
78,San Patricio,US,75.2,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
87,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Bengkulu,ID,75.7,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
92,Kapaa,US,72.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
96,Trairi,BR,84.18,clear sky,-3.2778,-39.2689,janelas do mar
102,Chuy,UY,73.44,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
107,Manakara,MG,78.8,overcast clouds,-22.1333,48.0167,La Residence Manakara
109,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
112,Itarema,BR,83.89,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Namibe,AO,73.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
119,Aquiraz,BR,84.2,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
122,Mayahi,NE,71.69,overcast clouds,13.9553,7.6712,
125,Djibo,BF,82.09,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
126,Pitimbu,BR,84.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
131,Cidreira,BR,75.25,clear sky,-30.1811,-50.2056,Hotel Castelo
132,Maceio,BR,80.6,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
134,Pimentel,PE,82.4,clear sky,-6.8367,-79.9342,Casona Del Muelle
136,Kavaratti,IN,80.73,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
142,Caucaia,BR,84.2,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
144,Liku,ID,76.1,overcast clouds,-0.7275,119.8922,Agoes Liverpool
146,East London,ZA,72.52,light rain,-33.0153,27.9116,Tu Casa
147,Namatanai,PG,80.08,light rain,-3.6667,152.4333,Namatanai Hotel
153,Bullhead City,US,68.0,clear sky,35.1478,-114.5683,Harrah's Laughlin
156,Voh,NC,76.01,broken clouds,-20.9667,164.7,Le gîte du Koniambo
159,Cabo San Lucas,MX,75.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
161,Tinogboc,PH,79.5,overcast clouds,12.0074,121.4122,Alegria
166,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
168,Moussoro,TD,74.01,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
169,Lumphat,KH,71.28,few clouds,13.4878,106.9816,Lumphat Homestay
172,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
173,Nioro,GM,81.34,overcast clouds,13.35,-15.75,
180,Vao,NC,77.02,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
184,Meulaboh,ID,76.96,broken clouds,4.1363,96.1285,Kost Pria
185,Umm Lajj,SA,72.5,clear sky,25.0213,37.2685,Moon light Furnished Units
190,Maxixe,MZ,82.4,few clouds,-23.8597,35.3472,Oceano
192,Ballina,AU,75.2,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
194,Kirakira,SB,79.74,scattered clouds,-10.4544,161.9205,SanBiz Lodge
195,Mackay,AU,80.6,broken clouds,-21.15,149.2,International Lodge Motel
196,Tuy Hoa,VN,71.13,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
202,Maldonado,UY,77.0,few clouds,-34.6667,-54.9167,La Cimarrona
204,Novo Aripuana,BR,83.26,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
206,Vila Velha,BR,71.6,light rain,-20.3297,-40.2925,Hotel Vitória Palace
207,Kalmunai,LK,76.8,few clouds,7.4167,81.8167,VS Villa
209,Esmeraldas,BR,71.6,heavy intensity rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
210,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
211,Sao Joao Da Barra,BR,71.6,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
215,Oussouye,SN,82.4,clear sky,12.485,-16.5469,Auberge du Routard
219,Padang,ID,77.0,light rain,-0.9492,100.3543,Mercure Padang
220,Amaraji,BR,80.6,broken clouds,-8.3831,-35.4525,Monsieur
221,Long Xuyen,VN,73.4,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
224,Wad Rawah,SD,69.62,clear sky,15.1603,33.1397,ود الترابي
230,Dingle,PH,75.49,light rain,10.9995,122.6711,SEGAYA PROPERTY
