City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Norman Wells,CA,2021-02-07 20:12:35,65.282,-126.8329,-23.8,76,75,1.99,broken clouds
1,Bluff,NZ,2021-02-07 20:12:35,-46.6,168.3333,56.21,79,96,5.21,overcast clouds
2,Qaanaaq,GL,2021-02-07 20:12:36,77.484,-69.3632,12.27,86,61,5.99,broken clouds
3,Bagdarin,RU,2021-02-07 20:12:09,54.4333,113.6,-5.85,86,100,1.54,overcast clouds
4,Waipawa,NZ,2021-02-07 20:12:36,-41.4122,175.5153,64.99,82,75,19.57,broken clouds
5,Hobart,AU,2021-02-07 20:10:18,-42.8794,147.3294,55.4,62,40,13.8,scattered clouds
6,Dunedin,NZ,2021-02-07 20:17:47,-45.8742,170.5036,60.01,89,94,3.0,overcast clouds
7,Sao Filipe,CV,2021-02-07 20:14:00,14.8961,-24.4956,70.39,72,100,12.35,overcast clouds
8,Khatanga,RU,2021-02-07 20:17:47,71.9667,102.5,-30.68,79,0,10.16,clear sky
9,Georgetown,MY,2021-02-07 20:17:47,5.4112,100.3354,80.6,83,20,3.44,few clouds
10,Punta Arenas,CL,2021-02-07 20:17:48,-53.15,-70.9167,71.6,23,0,13.8,clear sky
11,Iwanai,JP,2021-02-07 20:15:28,42.9744,140.5089,18.72,91,98,13.73,light snow
12,Solone,UA,2021-02-07 20:17:48,48.2081,34.8721,12.2,73,40,8.95,scattered clouds
13,Rikitea,PF,2021-02-07 20:17:48,-23.1203,-134.9692,77.23,73,96,12.59,overcast clouds
14,Eureka,US,2021-02-07 20:17:49,40.8021,-124.1637,55.0,74,0,4.0,clear sky
15,Mataura,NZ,2021-02-07 20:17:49,-46.1927,168.8643,58.8,66,97,1.95,overcast clouds
16,Souillac,MU,2021-02-07 20:17:49,-20.5167,57.5167,80.6,78,75,9.22,broken clouds
17,Atuona,PF,2021-02-07 20:17:50,-9.8,-139.0333,79.36,74,24,21.79,few clouds
18,Zielona Gora,PL,2021-02-07 20:17:50,51.9355,15.5064,21.2,53,75,18.41,broken clouds
19,Hilo,US,2021-02-07 20:17:19,19.7297,-155.09,78.8,53,1,4.61,clear sky
20,Bambous Virieux,MU,2021-02-07 20:17:27,-20.3428,57.7575,81.0,78,75,9.22,broken clouds
21,Katsuura,JP,2021-02-07 20:17:51,35.1333,140.3,46.4,46,75,3.44,broken clouds
22,Tatarbunary,UA,2021-02-07 20:17:51,45.8373,29.6142,36.99,83,100,14.83,overcast clouds
23,Ushuaia,AR,2021-02-07 20:17:52,-54.8,-68.3,60.8,55,40,8.05,scattered clouds
24,Lorengau,PG,2021-02-07 20:17:52,-2.0226,147.2712,81.9,78,100,6.76,overcast clouds
25,Bethel,US,2021-02-07 20:17:52,41.3712,-73.414,28.99,93,90,4.61,"snow,fog"
26,Dikson,RU,2021-02-07 20:17:22,73.5069,80.5464,-32.01,85,90,14.45,overcast clouds
27,Tondano,ID,2021-02-07 20:17:53,1.3038,124.9112,75.2,100,40,1.14,scattered clouds
28,Riyadh,SA,2021-02-07 20:14:33,24.6877,46.7219,59.0,58,0,11.5,clear sky
29,Grants Pass,US,2021-02-07 20:17:53,42.439,-123.3284,37.4,93,90,0.85,overcast clouds
30,Hermanus,ZA,2021-02-07 20:17:54,-34.4187,19.2345,66.0,78,1,5.39,clear sky
31,Port Macquarie,AU,2021-02-07 20:15:03,-31.4333,152.9167,66.99,96,100,1.01,overcast clouds
32,Portland,US,2021-02-07 20:17:54,45.5234,-122.6762,48.0,71,90,8.05,overcast clouds
33,Lavrentiya,RU,2021-02-07 20:17:54,65.5833,-171.0,-11.47,84,0,6.46,clear sky
34,Zheleznodorozhnyy,RU,2021-02-07 20:17:54,55.7503,38.0042,10.4,72,40,13.42,scattered clouds
35,Dunmore Town,BS,2021-02-07 20:17:55,25.5,-76.65,75.36,88,0,15.21,clear sky
36,Mount Isa,AU,2021-02-07 20:13:39,-20.7333,139.5,77.0,100,99,5.75,overcast clouds
37,Butaritari,KI,2021-02-07 20:17:55,3.0707,172.7902,80.92,80,100,20.85,overcast clouds
38,Talnakh,RU,2021-02-07 20:17:55,69.4865,88.3972,-21.5,73,24,2.89,few clouds
39,Riberalta,BO,2021-02-07 20:17:56,-10.9833,-66.1,78.8,89,75,9.22,very heavy rain
40,Roald,NO,2021-02-07 20:17:56,62.5833,6.1333,24.8,42,0,12.66,clear sky
41,Westport,US,2021-02-07 20:17:56,41.1415,-73.3579,30.99,93,90,9.22,"heavy snow,fog"
42,Hithadhoo,MV,2021-02-07 20:17:09,-0.6,73.0833,82.06,70,91,8.14,overcast clouds
43,Port Alfred,ZA,2021-02-07 20:17:39,-33.5906,26.891,66.99,95,100,6.11,overcast clouds
44,Mananjary,MG,2021-02-07 20:18:22,-21.2167,48.3333,80.49,85,100,12.1,light rain
45,Belz,FR,2021-02-07 20:18:22,47.6751,-3.168,39.0,37,100,11.3,overcast clouds
46,Victoria,HK,2021-02-07 20:16:27,22.2855,114.1577,68.0,84,0,1.01,clear sky
47,Cape Town,ZA,2021-02-07 20:18:13,-33.9258,18.4232,68.0,63,0,18.41,clear sky
48,Bredasdorp,ZA,2021-02-07 20:18:23,-34.5322,20.0403,64.4,68,3,5.75,clear sky
49,Tabou,CI,2021-02-07 20:18:24,4.423,-7.3528,79.68,87,71,6.67,broken clouds
50,Havre-Saint-Pierre,CA,2021-02-07 20:14:29,50.2334,-63.5986,24.8,63,1,13.8,clear sky
51,Albany,US,2021-02-07 20:16:47,42.6001,-73.9662,28.99,72,100,2.55,overcast clouds
52,Narsaq,GL,2021-02-07 20:18:24,60.9167,-46.05,37.4,28,51,49.48,broken clouds
53,Tiksi,RU,2021-02-07 20:18:24,71.6872,128.8694,-28.07,86,39,3.76,scattered clouds
54,Salalah,OM,2021-02-07 20:18:25,17.0151,54.0924,73.4,68,75,3.44,broken clouds
55,Thompson,CA,2021-02-07 20:15:09,55.7435,-97.8558,-27.4,68,75,14.97,snow
56,Saint George,US,2021-02-07 20:18:17,37.1041,-113.5841,57.99,25,1,4.61,clear sky
57,Raudeberg,NO,2021-02-07 20:18:25,61.9875,5.1352,25.0,56,0,5.17,clear sky
58,Tuktoyaktuk,CA,2021-02-07 20:18:25,69.4541,-133.0374,-25.6,68,75,16.11,snow
59,Saldanha,ZA,2021-02-07 20:14:06,-33.0117,17.9442,64.4,68,0,14.97,clear sky
60,Arraial Do Cabo,BR,2021-02-07 20:18:26,-22.9661,-42.0278,73.4,88,75,4.61,moderate rain
61,Port Elizabeth,ZA,2021-02-07 20:17:14,-33.918,25.5701,66.2,94,90,6.91,light rain
62,Midland,US,2021-02-07 20:14:11,31.9974,-102.0779,71.6,11,1,16.11,clear sky
63,Porto Velho,BR,2021-02-07 20:18:26,-8.7619,-63.9039,89.6,58,40,4.61,light rain
64,Hasaki,JP,2021-02-07 20:18:27,35.7333,140.8333,32.0,86,20,5.75,few clouds
65,Rio Gallegos,AR,2021-02-07 20:14:25,-51.6226,-69.2181,69.8,37,0,19.57,clear sky
66,Barrow,US,2021-02-07 20:18:19,71.2906,-156.7887,-23.8,76,1,11.5,clear sky
67,Warrnambool,AU,2021-02-07 20:18:27,-38.3833,142.4833,55.99,78,100,10.49,overcast clouds
68,Tarko-Sale,RU,2021-02-07 20:18:28,64.9225,77.785,23.61,98,99,11.92,light snow
69,Ambulu,ID,2021-02-07 20:18:28,-8.345,113.6058,75.83,91,100,3.13,overcast clouds
70,Beringovskiy,RU,2021-02-07 20:18:28,63.05,179.3167,-0.58,88,100,14.03,overcast clouds
71,Jamestown,US,2021-02-07 20:13:34,42.097,-79.2353,18.0,67,90,18.41,light snow
72,Tiznit,MA,2021-02-07 20:18:29,29.5833,-9.5,51.78,82,100,8.72,overcast clouds
73,Luderitz,NA,2021-02-07 20:18:29,-26.6481,15.1594,71.53,57,0,27.4,clear sky
74,Pavlodar,KZ,2021-02-07 20:18:29,52.3,76.95,21.2,79,0,15.66,clear sky
75,Ostrovnoy,RU,2021-02-07 20:18:29,68.0531,39.5131,7.07,93,100,10.36,light snow
76,Baherden,TM,2021-02-07 20:18:29,38.4362,57.4316,58.15,55,100,4.59,overcast clouds
77,Kuyanovo,RU,2021-02-07 20:18:30,55.8014,54.5372,-2.81,91,100,14.29,overcast clouds
78,San Patricio,US,2021-02-07 20:18:30,28.017,-97.5169,75.2,40,20,14.97,few clouds
79,Busselton,AU,2021-02-07 20:18:30,-33.65,115.3333,62.01,99,94,1.99,overcast clouds
80,Monster,NL,2021-02-07 20:18:30,52.0258,4.175,24.01,86,90,16.11,light snow
81,Labrea,BR,2021-02-07 20:18:30,-7.2586,-64.7981,90.64,58,67,2.48,broken clouds
82,Lebu,CL,2021-02-07 20:18:31,-37.6167,-73.65,63.18,76,6,7.74,clear sky
83,Upernavik,GL,2021-02-07 20:16:47,72.7868,-56.1549,18.93,80,26,3.6,scattered clouds
84,Esperance,AU,2021-02-07 20:18:31,-33.8667,121.9,62.6,88,75,13.8,broken clouds
85,Severo-Kurilsk,RU,2021-02-07 20:18:31,50.6789,156.125,18.32,89,95,11.97,overcast clouds
86,Gaimersheim,DE,2021-02-07 20:18:32,48.807,11.368,33.01,100,90,1.14,"snow,mist"
87,Mahebourg,MU,2021-02-07 20:16:06,-20.4081,57.7,80.6,78,75,9.22,broken clouds
88,Fallon,US,2021-02-07 20:18:57,39.4735,-118.7774,57.0,24,20,4.61,few clouds
89,Bengkulu,ID,2021-02-07 20:18:58,-3.8004,102.2655,75.7,84,100,7.11,moderate rain
90,Leh,IN,2021-02-07 20:18:58,34.1667,77.5833,12.78,57,0,1.39,clear sky
91,Mayo,US,2021-02-07 20:18:58,38.8876,-76.5119,39.99,100,90,4.61,overcast clouds
